iter	Passed	Remaining
200	4853	19293
201	4869	19237
202	4888	19191
203	4905	19139
204	4923	19091
205	4940	19041
206	4956	18989
207	4975	18945
208	4993	18898
209	5011	18852
210	5027	18799
211	5044	18751
212	5060	18698
213	5078	18651
214	5095	18604
215	5111	18551
216	5129	18510
217	5146	18459
218	5162	18411
219	5179	18365
220	5198	18323
221	5211	18264
222	5227	18213
223	5244	18167
224	5265	18138
225	5280	18086
226	5297	18039
227	5312	17988
228	5327	17937
229	5344	17892
230	5362	17850
231	5379	17806
232	5395	17760
233	5412	17718
234	5429	17673
235	5445	17628
236	5463	17590
237	5480	17545
238	5497	17505
239	5514	17461
240	5534	17429
241	5553	17393
242	5570	17353
243	5589	17317
244	5606	17275
245	5622	17232
246	5640	17194
247	5658	17158
248	5674	17115
249	5691	17074
250	5708	17033
251	5727	17001
252	5743	16956
253	5760	16918
254	5777	16880
255	5792	16835
256	5810	16798
257	5827	16759
258	5843	16719
259	5860	16680
260	5874	16632
261	5896	16609
262	5917	16581
263	5937	16552
264	5953	16512
265	5971	16476
266	5986	16434
267	6002	16395
268	6019	16358
269	6034	16315
270	6051	16279
271	6067	16238
272	6082	16197
273	6099	16161
274	6114	16120
275	6133	16090
276	6152	16057
277	6168	16020
278	6184	15983
279	6201	15945
280	6216	15907
281	6233	15870
282	6250	15835
283	6266	15797
284	6285	15767
285	6300	15730
286	6316	15693
287	6335	15663
288	6349	15622
289	6367	15588
290	6382	15550
291	6400	15519
292	6420	15493
293	6437	15459
294	6454	15425
295	6470	15388
296	6485	15351
297	6503	15320
298	6519	15285
299	6536	15251
300	6552	15215
301	6569	15182
302	6584	15147
303	6600	15111
304	6617	15078
305	6631	15040
306	6647	15004
307	6664	14972
308	6679	14938
309	6698	14908
310	6717	14882
311	6734	14850
312	6749	14815
313	6765	14781
314	6781	14747
315	6795	14710
316	6814	14682
317	6829	14647
318	6847	14617
319	6863	14585
320	6881	14556
321	6901	14531
322	6919	14502
323	6940	14479
324	6955	14445
325	6972	14415
326	6988	14383
327	7003	14349
328	7019	14317
329	7037	14288
330	7052	14253
331	7070	14225
332	7085	14192
333	7102	14161
334	7119	14133
335	7134	14100
336	7153	14072
337	7167	14037
338	7181	14002
339	7199	13976
340	7214	13942
341	7231	13912
342	7244	13876
343	7259	13844
344	7280	13822
345	7298	13794
346	7312	13761
347	7328	13730
348	7349	13709
349	7366	13679
350	7382	13650
351	7400	13623
352	7417	13595
353	7431	13561
354	7446	13529
355	7460	13496
356	7476	13465
357	7490	13432
358	7505	13400
359	7517	13365
360	7533	13335
361	7550	13307
362	7566	13277
363	7583	13249
364	7597	13218
365	7613	13188
366	7632	13164
367	7646	13132
368	7661	13100
369	7679	13076
370	7695	13047
371	7709	13015
372	7727	12989
373	7741	12957
374	7757	12928
375	7775	12903
376	7795	12881
377	7811	12853
378	7829	12828
379	7845	12800
380	7860	12771
381	7878	12745
382	7894	12718
383	7912	12692
384	7929	12666
385	7945	12638
386	7964	12615
387	7979	12586
388	7995	12559
389	8014	12535
390	8030	12507
391	8045	12478
392	8058	12446
393	8074	12419
394	8091	12393
395	8109	12369
396	8125	12342
397	8141	12315
398	8161	12292
399	8177	12266
400	8192	12238
401	8207	12209
